repo https://github.com/CBIIT/bento-model
commit 594f745
node	property	value_or_TYPE
aliquot	aliquot_concentration	NUMBER (milligram per milliliter)
aliquot	aliquot_id	STRING
aliquot	aliquot_is_ref	STRING
aliquot	aliquot_quantity	NUMBER (microgram)
aliquot	aliquot_volume	NUMBER (milliliter)
aliquot	no_matched_normal_low_pass_wgs	BOOLEAN
aliquot	no_matched_normal_targeted_sequencing	BOOLEAN
aliquot	no_matched_normal_wgs	BOOLEAN
aliquot	no_matched_normal_wxs	BOOLEAN
aliquot	pool	STRING
aliquot	selected_normal_low_pass_wgs	BOOLEAN
aliquot	selected_normal_targeted_sequencing	BOOLEAN
aliquot	selected_normal_wgs	BOOLEAN
aliquot	selected_normal_wxs	BOOLEAN
aliquot	status	Disqualified
aliquot	status	Qualified
analyte	a260_a280_ratio	NUMBER
analyte	analyte_concentration	NUMBER (milligram per milliliter)
analyte	analyte_id	STRING
analyte	analyte_quantity	NUMBER (gram)
analyte	analyte_type	STRING
analyte	analyte_type_id	D
analyte	analyte_type_id	E
analyte	analyte_type_id	G
analyte	analyte_type_id	H
analyte	analyte_type_id	R
analyte	analyte_volume	NUMBER (milliliter)
analyte	normal_tumor_genotype_snp_match	No
analyte	normal_tumor_genotype_snp_match	Not Reported
analyte	normal_tumor_genotype_snp_match	Unknown
analyte	normal_tumor_genotype_snp_match	Yes
analyte	ribosomal_rna_28s_16s_ratio	NUMBER
analyte	spectrophotometer_method	STRING
analyte	well_number	INTEGER
cross_reference_database	cross_reference_database_id	STRING
cross_reference_database	cross_reference_database_name	STRING
cross_reference_database	cross_reference_database_url	STRING
demographic_data	age_at_index	INTEGER
demographic_data	age_is_obfuscated	BOOLEAN
demographic_data	breed	Affenpinscher
demographic_data	breed	Afghan Hound
demographic_data	breed	Airedale Terrier
demographic_data	breed	Akita
demographic_data	breed	Alaskan Malamute
demographic_data	breed	American Eskimo Dog
demographic_data	breed	American Foxhound
demographic_data	breed	American Staffordshire Terrier
demographic_data	breed	American Water Spaniel
demographic_data	breed	Anatolian Shepherd Dog
demographic_data	breed	Australian Cattle Dog
demographic_data	breed	Australian Shepherd
demographic_data	breed	Australian Terrier
demographic_data	breed	Basenji
demographic_data	breed	Basset Hound
demographic_data	breed	Beagle
demographic_data	breed	Bearded Collie
demographic_data	breed	Bedlington Terrier
demographic_data	breed	Belgian Malinois
demographic_data	breed	Belgian Sheepdog
demographic_data	breed	Belgian Tervuren
demographic_data	breed	Bernese Mountain Dog
demographic_data	breed	Bichon Frise
demographic_data	breed	Black Russian Terrier
demographic_data	breed	Black and Tan Coonhound
demographic_data	breed	Bloodhound
demographic_data	breed	Border Collie
demographic_data	breed	Border Terrier
demographic_data	breed	Borzoi
demographic_data	breed	Boston Terrier
demographic_data	breed	Bouvier des Flandres
demographic_data	breed	Boxer
demographic_data	breed	Briard
demographic_data	breed	Brittany
demographic_data	breed	Brussels Griffon
demographic_data	breed	Bull Terrier
demographic_data	breed	Bulldog
demographic_data	breed	Bullmastiff
demographic_data	breed	Cairn Terrier
demographic_data	breed	Canaan Dog
demographic_data	breed	Cardigan Welsh Corgi
demographic_data	breed	Catahoula Hound
demographic_data	breed	Cavalier King Charles Spaniel
demographic_data	breed	Chesapeake Bay Retriever
demographic_data	breed	Chihuahua
demographic_data	breed	Chinese Crested
demographic_data	breed	Chinese Shar-Pei
demographic_data	breed	Chow Chow
demographic_data	breed	Clumber Spaniel
demographic_data	breed	Cocker Spaniel
demographic_data	breed	Collie
demographic_data	breed	Curly-Coated Retriever
demographic_data	breed	Dachshund
demographic_data	breed	Dalmatian
demographic_data	breed	Dandie Dinmont Terrier
demographic_data	breed	Doberman Pinscher
demographic_data	breed	English Cocker Spaniel
demographic_data	breed	English Foxhound
demographic_data	breed	English Setter
demographic_data	breed	English Springer Spaniel
demographic_data	breed	English Toy Spaniel
demographic_data	breed	Field Spaniel
demographic_data	breed	Finnish Spitz
demographic_data	breed	Flat-Coated Retriever
demographic_data	breed	French Bulldog
demographic_data	breed	German Pinscher
demographic_data	breed	German Shepherd Dog
demographic_data	breed	German Shorthaired Pointer
demographic_data	breed	German Wirehaired Pointer
demographic_data	breed	Giant Schnauzer
demographic_data	breed	Glen of Imaal Terrier
demographic_data	breed	Golden Retriever
demographic_data	breed	Gordon Setter
demographic_data	breed	Great Dane
demographic_data	breed	Great Pyrenees
demographic_data	breed	Greater Swiss Mountain Dog
demographic_data	breed	Greyhound
demographic_data	breed	Harrier
demographic_data	breed	Havanese
demographic_data	breed	Ibizan Hound
demographic_data	breed	Irish Setter
demographic_data	breed	Irish Terrier
demographic_data	breed	Irish Water Spaniel
demographic_data	breed	Irish Wolfhound
